Order_ID,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Product_Price,Discount_Percent,Final_Price,Quantity,Revenue,Delivery_Time,Customer_Rating,Customer_Location,Browsing_Frequency,Product_Search_Method
ORD000012,2023/06/05 8:49:12 PM GMT+5:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,45.04,20,36.03,1,36.03,6,4.0,Maharashtra,Few times a month,Keyword
ORD000013,2023/06/08 5:42:27 PM GMT+5:30,35,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,103.41,20,82.73,1,82.73,2,4.0,Maharashtra,Few times a week,Filter
ORD000014,2023/06/05 10:08:15 PM GMT+5:30,44,Male,Few times a month,Clothing and Fashion;others,27.06,25,20.29,1,20.29,3,4.0,nan,Few times a month,categories
ORD000015,2023/06/06 6:36:16 PM GMT+5:30,29,Prefer not to say,Once a week,Beauty and Personal Care,18.82,10,16.94,1,16.94,3,2.0,Karnataka,Few times a week,categories
ORD000016,2023/06/08 3:27:23 AM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,47.39,50,23.7,1,23.7,5,2.0,Uttar Pradesh,Multiple times a day,Filter
ORD000017,2023/06/08 5:23:05 PM GMT+5:30,29,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,35.99,30,25.19,2,50.38,6,5.0,Maharashtra,Few times a week,Keyword
ORD000018,2023/06/09 4:32:56 PM GMT+5:30,45,Others,Less than once a month,Beauty and Personal Care,41.51,25,31.13,1,31.13,5,4.0,Karnataka,Few times a week,Filter
ORD000019,2023/06/08 10:38:16 PM GMT+5:30,34,Female,Few times a month,Clothing and Fashion,37.38,0,37.38,4,149.52,3,5.0,Maharashtra,Few times a month,categories
ORD000020,2023/06/08 5:53:11 PM GMT+5:30,24,Prefer not to say,Once a month,Clothing and Fashion;Home and Kitchen,23.59,20,18.87,1,18.87,2,4.0,Tamil Nadu,Few times a month,categories
ORD000021,2023/06/07 9:19:23 AM GMT+5:30,25,Female,Once a week,Groceries and Gourmet Food,37.98,25,28.48,1,28.48,1,1.0,Uttar Pradesh,Multiple times a day,Filter
ORD000022,2023/06/07 10:11:28 PM GMT+5:30,37,Female,Once a week,Beauty and Personal Care,65.45,30,45.82,1,45.82,4,2.0,nan,Few times a week,categories
ORD000023,2023/06/06 7:15:48 PM GMT+5:30,40,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,70.34,30,49.24,1,49.24,7,4.0,Karnataka,Multiple times a day,Filter
ORD000024,2023/06/09 2:41:53 PM GMT+5:30,67,Female,Few times a month,Beauty and Personal Care,23.51,30,16.46,4,65.84,3,2.0,Delhi,Few times a month,categories
ORD000025,2023/06/08 3:30:19 AM GMT+5:30,27,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,38.93,15,33.09,1,33.09,4,1.0,Delhi,Few times a month,categories
ORD000026,2023/06/04 8:52:49 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,93.13,30,65.19,1,65.19,5,2.0,Delhi,Few times a month,others
ORD000027,2023/06/07 6:31:23 PM GMT+5:30,27,Female,Once a week,Beauty and Personal Care,23.87,0,23.87,1,23.87,2,3.0,West Bengal,Few times a month,categories
ORD000028,2023/06/11 11:26:21 PM GMT+5:30,56,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,21.02,15,17.87,3,53.61,5,2.0,Tamil Nadu,Few times a week,Filter
ORD000029,2023/06/09 3:18:25 PM GMT+5:30,56,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen,57.75,5,54.86,2,109.72,4,1.0,West Bengal,Few times a week,categories
ORD000030,2023/06/05 1:28:44 PM GMT+5:30,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,51.07,30,35.75,1,35.75,4,4.0,nan,Few times a week,Keyword
ORD000031,2023/06/11 10:44:01 PM GMT+5:30,45,Prefer not to say,Few times a month,Clothing and Fashion,18.43,30,12.9,3,38.7,5,,West Bengal,Multiple times a day,Keyword
ORD000032,2023/06/09 3:19:53 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care,12.43,10,11.19,4,44.76,2,,West Bengal,Few times a month,categories
ORD000033,2023/06/07 3:08:03 AM GMT+5:30,23,Female,Few times a month,Clothing and Fashion,38.4,15,32.64,1,32.64,4,5.0,Karnataka,Few times a month,Filter
ORD000034,2023/06/11 11:27:25 PM GMT+5:30,21,Male,Once a week,Clothing and Fashion,24.7,50,12.35,1,12.35,2,1.0,Karnataka,Few times a week,categories
ORD000035,2023/06/12 2:41:06 PM GMT+5:30,45,Prefer not to say,Once a month,Clothing and Fashion,10.19,20,8.15,1,8.15,2,2.0,Uttar Pradesh,Few times a week,Keyword
ORD000036,2023/06/07 6:16:51 PM GMT+5:30,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen,20.47,15,17.4,1,17.4,4,2.0,Tamil Nadu,Few times a week,Filter
ORD000037,2023/06/11 9:31:41 AM GMT+5:30,39,Male,Once a month,Home and Kitchen,50.49,20,40.39,1,40.39,3,4.0,Karnataka,Few times a week,Keyword
ORD000038,2023/06/06 6:36:16 PM GMT+5:30,29,Prefer not to say,Once a week,Beauty and Personal Care,29.79,20,23.83,3,71.49,5,5.0,Maharashtra,Few times a week,categories
ORD000039,2023/06/09 4:29:50 PM GMT+5:30,33,Prefer not to say,Once a week,Beauty and Personal Care,99.11,50,49.56,1,49.56,4,4.0,Tamil Nadu,Few times a month,categories
ORD000040,2023/06/04 8:49:49 PM GMT+5:30,64,Male,Once a week,Groceries and Gourmet Food,7.68,15,6.53,3,19.59,4,3.0,Maharashtra,Few times a month,Keyword
ORD000041,2023/06/06 7:20:35 PM GMT+5:30,24,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,84.49,10,76.04,1,76.04,6,5.0,Tamil Nadu,Few times a month,categories
ORD000042,2023/06/07 10:09:54 PM GMT+5:30,45,Female,Once a week,Clothing and Fashion,26.03,10,23.43,2,46.86,2,4.0,Karnataka,Rarely,Keyword
ORD000043,2023/06/08 5:54:49 PM GMT+5:30,46,Male,Few times a month,Clothing and Fashion;Home and Kitchen,23.53,0,23.53,1,23.53,1,2.0,Delhi,Few times a month,Filter
ORD000044,2023/06/12 9:57:20 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,11.18,20,8.94,4,35.76,3,4.0,Uttar Pradesh,Few times a month,Keyword
ORD000045,2023/06/08 3:33:39 AM GMT+5:30,37,Male,Less than once a month,others,45.86,30,32.1,2,64.2,5,1.0,Tamil Nadu,Rarely,others
ORD000046,2023/06/04 8:01:45 PM GMT+5:30,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,9.22,25,6.92,1,6.92,6,1.0,Uttar Pradesh,Few times a month,Keyword
ORD000047,2023/06/07 5:58:12 PM GMT+5:30,37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,58.71,70,17.61,1,17.61,1,4.0,Uttar Pradesh,Few times a week,categories
ORD000048,2023/06/08 5:24:42 PM GMT+5:30,34,Others,Few times a month,Clothing and Fashion,11.48,30,8.04,4,32.16,5,4.0,Karnataka,Few times a week,Filter
ORD000049,2023/06/11 11:28:26 PM GMT+5:30,34,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion,12.82,15,10.9,1,10.9,1,2.0,Tamil Nadu,Multiple times a day,Keyword
ORD000050,2023/06/08 5:19:56 PM GMT+5:30,26,Female,Once a month,Clothing and Fashion,14.38,15,12.22,3,36.66,4,4.0,Uttar Pradesh,Few times a week,categories
ORD000051,2023/06/05 9:56:08 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,20.06,20,16.05,1,16.05,3,4.0,Tamil Nadu,Few times a week,Keyword
ORD000052,2023/06/08 5:38:57 PM GMT+5:30,40,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,64.04,5,60.84,2,121.68,1,5.0,Maharashtra,Few times a month,others
ORD000053,2023/06/09 2:36:09 PM GMT+5:30,23,Female,Less than once a month,Clothing and Fashion,94.89,20,75.91,4,303.64,1,3.0,Maharashtra,Multiple times a day,Filter
ORD000054,2023/06/09 9:35:57 AM GMT+5:30,34,Female,Once a month,Clothing and Fashion,21.57,15,18.33,1,18.33,3,2.0,Karnataka,Few times a week,categories
ORD000055,2023/06/11 10:42:48 PM GMT+5:30,23,Male,Once a month,Clothing and Fashion,32.05,20,25.64,1,25.64,7,1.0,Delhi,Rarely,Filter
ORD000056,2023/06/04 11:12:15 PM GMT+5:30,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,46.66,20,37.33,1,37.33,2,5.0,Maharashtra,Few times a week,Keyword
ORD000057,2023/06/07 11:47:44 AM GMT+5:30,40,Female,Less than once a month,Home and Kitchen,26.3,15,22.36,1,22.36,3,1.0,Delhi,Rarely,categories
ORD000058,2023/06/05 6:49:25 PM GMT+5:30,58,Male,Once a month,Clothing and Fashion;others,45.4,20,36.32,2,72.64,7,5.0,Uttar Pradesh,Few times a week,Keyword
ORD000059,2023/06/11 11:26:54 PM GMT+5:30,32,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,33.02,15,28.07,1,28.07,3,3.0,West Bengal,Few times a month,categories
ORD000060,2023/06/08 5:54:49 PM GMT+5:30,46,Male,Few times a month,Clothing and Fashion;Home and Kitchen,27.73,10,24.96,1,24.96,3,3.0,Delhi,Few times a month,Filter
ORD000061,2023/06/04 2:30:44 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,12.26,20,9.81,1,9.81,4,4.0,Maharashtra,Few times a month,Keyword
ORD000062,2023/06/08 5:55:54 PM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,36.76,15,31.25,1,31.25,3,2.0,Tamil Nadu,Few times a month,Filter
ORD000063,2023/06/12 9:40:22 AM GMT+5:30,34,Female,Once a week,Clothing and Fashion,64.77,30,45.34,2,90.68,6,4.0,Maharashtra,Few times a week,Keyword
ORD000064,2023/06/06 9:47:31 AM GMT+5:30,23,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,19.21,10,17.29,1,17.29,1,3.0,Delhi,Multiple times a day,Keyword
ORD000065,2023/06/09 3:22:15 PM GMT+5:30,56,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,8.35,20,6.68,2,13.36,7,4.0,West Bengal,Few times a week,categories
ORD000066,2023/06/08 6:39:59 PM GMT+5:30,24,Female,Less than once a month,Home and Kitchen,26.48,20,21.18,1,21.18,1,1.0,Delhi,Rarely,categories
ORD000067,2023/06/11 11:22:19 PM GMT+5:30,43,Male,Once a month,Beauty and Personal Care,95.28,10,85.75,1,85.75,4,3.0,Tamil Nadu,Multiple times a day,Filter
ORD000068,2023/06/06 7:16:28 PM GMT+5:30,37,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,77.35,15,65.75,1,65.75,4,1.0,Delhi,Few times a month,categories
ORD000069,2023/06/07 11:41:56 AM GMT+5:30,37,Female,Once a month,Clothing and Fashion,22.06,20,17.65,1,17.65,4,3.0,Delhi,Few times a month,categories
ORD000070,2023/06/07 9:54:24 PM GMT+5:30,34,Male,Once a week,Beauty and Personal Care;Home and Kitchen,45.55,15,38.72,1,38.72,3,2.0,Tamil Nadu,Few times a month,Filter
ORD000071,2023/06/07 9:54:56 PM GMT+5:30,34,Female,Once a week,Clothing and Fashion,50.88,5,48.34,1,48.34,6,1.0,Maharashtra,Few times a week,Keyword
ORD000072,2023/06/09 2:36:46 PM GMT+5:30,34,Prefer not to say,Once a week,Beauty and Personal Care,93.99,20,75.19,1,75.19,3,5.0,Delhi,Few times a month,categories
ORD000073,2023/06/09 2:42:57 PM GMT+5:30,21,Female,Few times a month,Beauty and Personal Care,11.19,10,10.07,1,10.07,3,3.0,Tamil Nadu,Few times a week,Filter
ORD000074,2023/06/07 6:30:43 PM GMT+5:30,23,Prefer not to say,Few times a month,Clothing and Fashion,15.67,20,12.54,1,12.54,5,5.0,Tamil Nadu,Few times a month,categories
ORD000075,2023/06/07 11:05:19 PM GMT+5:30,23,Female,Multiple times a week,Beauty and Personal Care,8.11,25,6.08,2,12.16,2,5.0,Karnataka,Few times a week,Filter
ORD000076,2023/06/08 5:19:23 PM GMT+5:30,31,Female,Few times a month,Clothing and Fashion;Home and Kitchen,20.6,5,19.57,2,39.14,2,4.0,Delhi,Few times a week,categories
ORD000077,2023/06/05 10:37:36 AM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,69.85,15,59.37,1,59.37,3,4.0,Karnataka,Few times a month,Keyword
ORD000078,2023/06/07 12:39:08 PM GMT+5:30,48,Male,Few times a month,Beauty and Personal Care,22.38,15,19.02,1,19.02,3,4.0,Delhi,Few times a week,Filter
ORD000079,2023/06/06 11:28:31 PM GMT+5:30,24,Male,Less than once a month,Clothing and Fashion,13.25,20,10.6,1,10.6,1,4.0,nan,Few times a month,categories
ORD000080,2023/06/08 5:48:14 PM GMT+5:30,20,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,38.81,15,32.99,2,65.98,7,4.0,Maharashtra,Multiple times a day,categories
ORD000081,2023/06/09 4:33:19 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,39.51,15,33.58,2,67.16,4,4.0,Delhi,Few times a week,Filter
ORD000082,2023/06/05 12:05:20 AM GMT+5:30,26,Female,Less than once a month,others,16.25,0,16.25,1,16.25,7,3.0,Maharashtra,Few times a month,Keyword
ORD000083,2023/06/06 7:10:55 PM GMT+5:30,24,Male,Less than once a month,others,23.24,5,22.08,1,22.08,5,5.0,Tamil Nadu,Few times a month,Keyword
ORD000084,2023/06/04 8:02:28 PM GMT+5:30,21,Female,Less than once a month,Beauty and Personal Care,36.8,20,29.44,10,294.4,2,4.0,nan,Few times a week,Keyword
ORD000085,2023/06/05 1:45:30 PM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,55.82,10,50.24,1,50.24,2,3.0,Karnataka,Few times a month,categories
ORD000086,2023/06/11 10:52:47 PM GMT+5:30,22,Male,Once a month,Clothing and Fashion;Home and Kitchen,21.03,5,19.98,1,19.98,1,3.0,Karnataka,Few times a month,Keyword
ORD000087,2023/06/08 5:23:05 PM GMT+5:30,29,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,19.01,15,16.16,1,16.16,5,3.0,nan,Few times a week,Keyword
ORD000088,2023/06/06 6:35:14 PM GMT+5:30,26,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,126.32,10,113.69,1,113.69,4,1.0,Delhi,Few times a week,Keyword
ORD000089,2023/06/09 3:10:36 PM GMT+5:30,23,Male,Few times a month,Beauty and Personal Care,27.34,5,25.97,1,25.97,2,,Delhi,Few times a month,categories
ORD000090,2023/06/05 1:37:01 PM GMT+5:30,24,Male,Less than once a month,others,39.43,10,35.49,1,35.49,7,3.0,Maharashtra,Few times a month,Keyword
ORD000091,2023/06/06 6:40:30 PM GMT+5:30,25,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,52.14,10,46.93,2,93.86,5,4.0,West Bengal,Rarely,Keyword
ORD000092,2023/06/09 7:27:00 PM GMT+5:30,23,Prefer not to say,Multiple times a week,Beauty and Personal Care,9.48,25,7.11,1,7.11,5,2.0,Maharashtra,Few times a month,categories
ORD000093,2023/06/12 3:56:57 PM GMT+5:30,23,Female,Multiple times a week,Beauty and Personal Care,32.69,5,31.06,4,124.24,3,4.0,Karnataka,Few times a month,categories
ORD000094,2023/06/08 5:57:34 PM GMT+5:30,32,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,10.46,25,7.85,1,7.85,3,3.0,Uttar Pradesh,Few times a week,Keyword
ORD000095,2023/06/08 10:41:11 PM GMT+5:30,23,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,30.22,15,25.69,1,25.69,4,5.0,Uttar Pradesh,Multiple times a day,Filter
ORD000096,2023/06/07 10:44:42 PM GMT+5:30,48,Female,Multiple times a week,Clothing and Fashion,86.59,20,69.27,1,69.27,4,5.0,Uttar Pradesh,Rarely,Keyword
ORD000097,2023/06/08 5:47:32 PM GMT+5:30,43,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,16.46,5,15.64,1,15.64,4,4.0,Delhi,Rarely,Keyword
ORD000098,2023/06/09 4:32:00 PM GMT+5:30,67,Prefer not to say,Few times a month,Home and Kitchen,10.31,30,7.22,4,28.88,6,1.0,Karnataka,Few times a week,Filter
ORD000099,2023/06/07 2:19:05 PM GMT+5:30,20,Female,Once a month,Home and Kitchen,124.14,25,93.1,1,93.1,2,3.0,West Bengal,Rarely,categories
ORD000100,2023/06/05 12:05:20 AM GMT+5:30,26,Female,Less than once a month,others,14.84,5,14.1,3,42.3,2,1.0,West Bengal,Few times a month,Keyword
ORD000101,2023/06/04 9:29:59 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care,11.6,10,10.44,1,10.44,4,4.0,Tamil Nadu,Few times a month,categories
ORD000102,2023/06/06 6:38:45 PM GMT+5:30,44,Female,Few times a month,Beauty and Personal Care,102.86,20,82.29,2,164.58,4,4.0,Uttar Pradesh,Multiple times a day,Filter
ORD000103,2023/06/07 10:58:27 AM GMT+5:30,30,Female,Few times a month,Beauty and Personal Care,14.43,30,10.1,1,10.1,3,3.0,Delhi,Few times a week,Filter
ORD000104,2023/06/04 10:37:00 PM GMT+5:30,23,Female,Less than once a month,others,104.74,15,89.03,2,178.06,6,3.0,Delhi,Rarely,others
ORD000105,2023/06/05 7:16:40 AM GMT+5:30,24,Female,Less than once a month,Clothing and Fashion,40.12,15,34.1,1,34.1,4,4.0,Maharashtra,Few times a month,Filter
ORD000106,2023/06/10 2:41:51 PM GMT+5:30,23,Female,Multiple times a week,Clothing and Fashion,81.35,10,73.22,5,366.1,4,2.0,West Bengal,Few times a month,categories
ORD000107,2023/06/08 9:39:30 PM GMT+5:30,34,Female,Few times a month,Home and Kitchen,37.72,15,32.06,2,64.12,3,1.0,Uttar Pradesh,Few times a month,categories
ORD000108,2023/06/12 2:54:13 PM GMT+5:30,45,Prefer not to say,Few times a month,Beauty and Personal Care,70.51,10,63.46,1,63.46,3,4.0,Karnataka,Few times a month,categories
ORD000109,2023/06/05 10:07:33 PM GMT+5:30,24,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,17.41,15,14.8,4,59.2,7,4.0,West Bengal,Few times a week,Keyword
ORD000110,2023/06/11 11:16:18 PM GMT+5:30,46,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,21.55,0,21.55,1,21.55,4,4.0,Tamil Nadu,Few times a week,Keyword
ORD000111,2023/06/09 2:42:57 PM GMT+5:30,21,Female,Few times a month,Beauty and Personal Care,7.53,0,7.53,10,75.3,5,5.0,Uttar Pradesh,Few times a week,Filter
ORD000112,2023/06/04 5:28:06 PM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,65.38,20,52.3,2,104.6,3,4.0,Uttar Pradesh,Few times a month,Filter
ORD000113,2023/06/07 12:44:27 PM GMT+5:30,25,Male,Few times a month,others,44.42,20,35.54,1,35.54,2,1.0,Uttar Pradesh,Few times a week,Keyword
ORD000114,2023/06/10 2:41:51 PM GMT+5:30,23,Female,Multiple times a week,Clothing and Fashion,16.36,15,13.91,1,13.91,3,2.0,Maharashtra,Few times a month,categories
ORD000115,2023/06/08 6:00:20 PM GMT+5:30,42,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,9.74,30,6.82,2,13.64,3,3.0,Maharashtra,Few times a month,Keyword
ORD000116,2023/06/08 5:58:03 PM GMT+5:30,18,Male,Once a week,Clothing and Fashion;Home and Kitchen,40.34,10,36.31,2,72.62,4,5.0,Karnataka,Few times a week,categories
ORD000117,2023/06/07 11:47:44 AM GMT+5:30,41,Male,Less than once a month,Clothing and Fashion,107.04,15,90.98,1,90.98,2,2.0,Delhi,Few times a month,Keyword
ORD000118,2023/06/04 8:02:28 PM GMT+5:30,21,Female,Less than once a month,Beauty and Personal Care,30.07,25,22.55,1,22.55,3,1.0,Maharashtra,Few times a week,Keyword
ORD000119,2023/06/11 11:20:57 PM GMT+5:30,36,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,20.89,25,15.67,1,15.67,2,3.0,West Bengal,Few times a week,Filter
ORD000120,2023/06/09 2:42:24 PM GMT+5:30,34,Others,Once a week,Beauty and Personal Care,17.19,30,12.03,4,48.12,3,1.0,Karnataka,Rarely,categories
ORD000121,2023/06/12 3:27:59 PM GMT+5:30,60,Male,Once a week,Beauty and Personal Care,79.4,0,79.4,1,79.4,6,4.0,nan,Few times a month,Filter
ORD000122,2023/06/07 5:26:20 PM GMT+5:30,25,Female,Less than once a month,Beauty and Personal Care,19.19,10,17.27,5,86.35,3,1.0,Delhi,Few times a week,Keyword
ORD000123,2023/06/11 11:27:55 PM GMT+5:30,34,Male,Less than once a month,Clothing and Fashion,25.54,20,20.43,1,20.43,1,1.0,Maharashtra,Few times a week,categories
ORD000124,2023/06/05 10:06:15 PM GMT+5:30,40,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,68.66,15,58.36,1,58.36,4,5.0,West Bengal,Few times a week,categories
ORD000125,2023/06/09 4:29:50 PM GMT+5:30,33,Prefer not to say,Once a week,Beauty and Personal Care,51.74,0,51.74,1,51.74,4,4.0,Delhi,Few times a month,categories
ORD000126,2023/06/08 9:39:30 PM GMT+5:30,34,Female,Few times a month,Home and Kitchen,26.23,20,20.98,4,83.92,3,2.0,Karnataka,Few times a month,categories
ORD000127,2023/06/07 2:19:05 PM GMT+5:30,20,Female,Once a month,Home and Kitchen,20.3,15,17.26,1,17.26,3,4.0,Delhi,Rarely,categories
ORD000128,2023/06/06 7:31:34 PM GMT+5:30,27,Female,Once a month,Beauty and Personal Care,92.38,15,78.52,1,78.52,6,3.0,Delhi,Few times a week,Keyword
ORD000129,2023/06/11 11:08:35 PM GMT+5:30,37,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,15.16,10,13.64,3,40.92,6,4.0,Uttar Pradesh,Few times a week,categories
ORD000130,2023/06/04 11:24:41 PM GMT+5:30,24,Female,Less than once a month,others,28.58,0,28.58,2,57.16,4,5.0,Tamil Nadu,Multiple times a day,Keyword
ORD000131,2023/06/11 10:56:58 PM GMT+5:30,21,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,11.54,10,10.39,3,31.17,4,4.0,West Bengal,Few times a month,categories
ORD000132,2023/06/06 7:12:54 PM GMT+5:30,31,Prefer not to say,Once a month,Clothing and Fashion,76.11,15,64.69,4,258.76,1,3.0,Delhi,Few times a month,categories
ORD000133,2023/06/07 6:15:10 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,23.75,10,21.38,4,85.52,3,3.0,Maharashtra,Few times a month,categories
ORD000134,2023/06/05 8:46:09 PM GMT+5:30,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,20.29,30,14.2,2,28.4,3,1.0,Delhi,Few times a week,categories
ORD000135,2023/06/12 3:35:24 PM GMT+5:30,45,Female,Multiple times a week,Beauty and Personal Care,52.62,5,49.99,1,49.99,1,4.0,Maharashtra,Few times a week,categories
ORD000136,2023/06/11 11:22:55 PM GMT+5:30,34,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,12.21,30,8.55,1,8.55,5,4.0,Maharashtra,Few times a week,categories
ORD000137,2023/06/12 2:54:13 PM GMT+5:30,45,Prefer not to say,Few times a month,Beauty and Personal Care,51.66,15,43.91,1,43.91,6,2.0,Tamil Nadu,Few times a month,categories
ORD000138,2023/06/04 9:29:59 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care,25.73,10,23.16,2,46.32,6,4.0,West Bengal,Few times a month,categories
ORD000139,2023/06/11 11:22:19 PM GMT+5:30,43,Male,Once a month,Beauty and Personal Care,14.24,15,12.1,1,12.1,5,3.0,Karnataka,Multiple times a day,Filter
ORD000140,2023/06/08 5:19:56 PM GMT+5:30,26,Female,Once a month,Clothing and Fashion,16.56,15,14.08,3,42.24,5,3.0,Maharashtra,Few times a week,categories
ORD000141,2023/06/08 5:09:31 PM GMT+5:30,43,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,20.51,20,16.41,1,16.41,3,4.0,Tamil Nadu,Rarely,Keyword
ORD000142,2023/06/11 9:53:31 AM GMT+5:30,32,Female,Once a month,Clothing and Fashion;Home and Kitchen;others,24.27,15,20.63,10,206.3,6,2.0,Tamil Nadu,Few times a week,others
ORD000143,2023/06/08 5:25:40 PM GMT+5:30,27,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,14.31,20,11.45,1,11.45,4,3.0,Tamil Nadu,Few times a month,categories
ORD000144,2023/06/09 3:16:30 PM GMT+5:30,23,Prefer not to say,Once a week,Clothing and Fashion,40.7,15,34.6,2,69.2,1,4.0,Maharashtra,Few times a month,categories
